timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/02/11 11:37:41.983, 81, 100 %, 46 %, 198.81 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:37:43.017, 81, 100 %, 47 %, 189.89 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:37:44.024, 81, 100 %, 48 %, 198.81 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:37:45.025, 81, 100 %, 47 %, 192.27 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:37:46.034, 81, 100 %, 47 %, 198.81 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:37:47.037, 81, 100 %, 48 %, 191.32 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:37:48.042, 81, 100 %, 48 %, 203.44 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:37:49.082, 80, 100 %, 48 %, 196.90 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:37:50.087, 81, 100 %, 57 %, 217.43 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:37:51.124, 82, 100 %, 52 %, 222.66 W, 1230 MHz, 877 MHz, P0
2026/02/11 11:37:52.128, 82, 100 %, 52 %, 225.36 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:37:53.132, 82, 100 %, 51 %, 222.19 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:54.136, 81, 100 %, 47 %, 188.46 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:37:55.184, 81, 100 %, 47 %, 183.81 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:37:56.207, 81, 100 %, 49 %, 200.24 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:37:57.215, 81, 100 %, 46 %, 194.18 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:37:58.224, 81, 100 %, 48 %, 204.39 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:37:59.271, 81, 100 %, 48 %, 202.01 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:00.272, 81, 100 %, 47 %, 192.75 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:38:01.316, 79, 100 %, 44 %, 172.00 W, 1027 MHz, 877 MHz, P0
